Environment,RewGranularity,PenGranularity,EEBA1,EEBA2,ELA1,ELA2,LELA2,LIN_SUM,ROLF_EXP_LOG1,ROLF_EXP_LOG2,SEBA1,SEBA2,SFLLA1,SFLLA2,SFMLA1,SFMLA2,TLO$^A$
Sokobanpen10.0,0,0.01,-457.66***,-457.79***,NA,NA,NA,-457.70***,NA,NA,NA,NA,-417.15***,-457.61***,NA,NA,-153.60
Sokobanpen10.0,0,0.1,-457.66***,-457.73***,NA,NA,NA,-457.70***,NA,NA,NA,NA,-413.67***,-457.35***,NA,NA,-153.60
Sokobanpen10.0,0,1,-457.52***,-457.88***,NA,NA,NA,-457.60***,NA,NA,NA,NA,-457.74***,-457.67***,NA,NA,-153.60
Sokobanpen10.0,0,10,-457.80***,-457.80***,NA,NA,NA,-457.69***,NA,NA,NA,NA,-457.76***,-457.38***,NA,NA,-153.60
Sokobanpen10.0,0,100,-457.77***,-457.71***,NA,NA,NA,-457.80***,NA,NA,NA,NA,-457.78***,-457.58***,NA,NA,-153.60
Sokobanpen10.0,0.01,0,-457.60***,-457.85***,NA,NA,NA,-457.62***,NA,NA,NA,NA,-408.62***,-457.59***,NA,NA,-153.60
Sokobanpen10.0,0.01,0.01,-457.64***,-457.78***,NA,NA,NA,-457.67***,NA,NA,NA,NA,-387.95***,-457.66***,NA,NA,-153.60
Sokobanpen10.0,0.1,0,-457.05***,-457.66***,NA,NA,NA,-457.50***,NA,NA,NA,NA,-390.54***,-457.59***,NA,NA,-153.60
Sokobanpen10.0,0.1,0.1,-457.60***,-457.76***,NA,NA,NA,-457.73***,NA,NA,NA,NA,-421.97***,-457.47***,NA,NA,-153.60
Sokobanpen10.0,1,0,-456.24***,-457.60***,NA,NA,NA,-457.53***,NA,NA,NA,NA,-341.83***,-457.56***,NA,NA,-153.60
Sokobanpen10.0,1,1,-456.88***,-457.62***,NA,NA,NA,-457.84***,NA,NA,NA,NA,-451.43***,-457.47***,NA,NA,-153.60
Sokobanpen10.0,10,0,-409.59***,-460.84***,NA,NA,NA,-457.79***,NA,NA,NA,NA,-177.83***,-460.77***,NA,NA,-153.60
Sokobanpen10.0,10,10,-456.17***,-460.74***,NA,NA,NA,-457.71***,NA,NA,NA,NA,-455.88***,-460.57***,NA,NA,-153.60
Sokobanpen10.0,100,0,-195.94***,-460.67***,NA,NA,NA,-457.60***,NA,NA,NA,NA,-206.95***,-460.81***,NA,NA,-153.60
Sokobanpen10.0,100,100,-474.11***,-460.72***,NA,NA,NA,-457.86***,NA,NA,NA,NA,-473.85***,-460.81***,NA,NA,-153.60
Sokobanrew0.01,0,0,-17.94,-18.27***,NA,NA,NA,-17.96,NA,NA,NA,NA,-17.97,-18.19***,NA,NA,-17.97
Sokobanrew0.01,0,0.01,-17.99,-18.26***,NA,NA,NA,-18.01*,NA,NA,NA,NA,-18.01,-18.21***,NA,NA,-17.97
Sokobanrew0.01,0,0.1,-18.00,-18.23***,NA,NA,NA,-17.99,NA,NA,NA,NA,-17.97,-18.23***,NA,NA,-17.97
Sokobanrew0.01,0,1,-18.59*,-18.20***,NA,NA,NA,-17.98,NA,NA,NA,NA,-18.60*,-18.21***,NA,NA,-17.97
Sokobanrew0.01,0,10,-48.86***,-48.87***,NA,NA,NA,-17.96,NA,NA,NA,NA,-48.84***,-48.87***,NA,NA,-17.97
Sokobanrew0.01,0,100,-48.84***,-48.85***,NA,NA,NA,-18.02**,NA,NA,NA,NA,-48.86***,-48.85***,NA,NA,-17.97
Sokobanrew0.01,0.01,0,-17.89***,-18.24***,NA,NA,NA,-17.97,NA,NA,NA,NA,-17.91**,-18.22***,NA,NA,-17.97
Sokobanrew0.01,0.01,0.01,-17.91**,-18.25***,NA,NA,NA,-17.95,NA,NA,NA,NA,-17.91**,-18.25***,NA,NA,-17.97
Sokobanrew0.01,0.1,0,-18.33***,-31.02***,NA,NA,NA,-18.01*,NA,NA,NA,NA,-18.24***,-30.50***,NA,NA,-17.97
Sokobanrew0.01,0.1,0.1,-18.77***,-29.21***,NA,NA,NA,-17.99,NA,NA,NA,NA,-18.78***,-30.33***,NA,NA,-17.97
Sokobanrew0.01,1,0,-19.23***,-30.90***,NA,NA,NA,-18.01*,NA,NA,NA,NA,-20.83***,-31.13***,NA,NA,-17.97
Sokobanrew0.01,1,1,-20.36***,-31.08***,NA,NA,NA,-17.99,NA,NA,NA,NA,-21.55***,-29.98***,NA,NA,-17.97
Sokobanrew0.01,10,0,-20.51***,-31.11***,NA,NA,NA,-17.97,NA,NA,NA,NA,-20.94***,-31.50***,NA,NA,-17.97
Sokobanrew0.01,10,10,-47.04***,-49.08***,NA,NA,NA,-17.96,NA,NA,NA,NA,-47.02***,-49.08***,NA,NA,-17.97
Sokobanrew0.01,100,0,-23.09***,-30.51***,NA,NA,NA,-18.01*,NA,NA,NA,NA,-23.52***,-29.74***,NA,NA,-17.97
Sokobanrew0.01,100,100,-47.02***,-49.09***,NA,NA,NA,-17.97,NA,NA,NA,NA,-47.03***,-49.10***,NA,NA,-17.97
